iter	Passed	Remaining
603	1420	931
604	1422	928
605	1424	925
606	1428	925
607	1430	922
608	1433	920
609	1434	917
610	1436	914
611	1438	911
612	1439	909
613	1443	907
614	1445	904
615	1447	902
616	1448	899
617	1450	896
618	1452	893
619	1453	890
620	1456	889
621	1460	887
622	1463	885
623	1464	882
624	1466	880
625	1468	877
626	1469	874
627	1473	872
628	1475	870
629	1476	867
630	1478	864
631	1480	861
632	1481	859
633	1483	856
634	1484	853
635	1490	853
636	1495	852
637	1496	849
638	1498	846
639	1499	843
640	1503	841
641	1505	839
642	1506	836
643	1508	834
644	1510	831
645	1512	828
646	1513	825
647	1514	822
648	1518	821
649	1520	818
650	1522	816
651	1523	813
652	1525	810
653	1527	807
654	1528	805
655	1529	802
656	1532	800
657	1534	797
658	1535	794
659	1537	792
660	1539	789
661	1540	786
662	1542	783
663	1543	781
664	1547	779
665	1550	777
666	1552	774
667	1553	772
668	1555	769
669	1556	766
670	1558	763
671	1559	761
672	1562	759
673	1564	756
674	1565	753
675	1567	751
676	1568	748
677	1570	745
678	1571	743
679	1573	740
680	1574	737
681	1578	735
682	1579	733
683	1581	730
684	1582	727
685	1584	725
686	1585	722
687	1586	719
688	1588	716
689	1589	714
690	1592	712
691	1593	709
692	1595	706
693	1597	704
694	1598	701
695	1599	698
696	1601	696
697	1602	693
698	1604	690
699	1607	688
700	1609	686
701	1610	683
702	1612	681
703	1613	678
704	1615	675
705	1616	673
706	1618	670
707	1621	668
708	1623	666
709	1625	664
710	1627	661
711	1630	659
712	1632	657
713	1637	656
714	1641	654
715	1643	651
716	1645	649
717	1647	646
718	1648	644
719	1649	641
720	1652	639
721	1654	636
722	1656	634
723	1657	631
724	1659	629
725	1661	627
726	1663	624
727	1669	623
728	1670	621
729	1672	618
730	1675	616
731	1676	613
732	1678	611
733	1679	608
734	1684	607
735	1685	604
736	1687	602
737	1689	599
738	1691	597
739	1693	595
740	1697	593
741	1699	590
742	1701	588
743	1704	586
744	1705	583
745	1706	581
746	1708	578
747	1711	576
748	1713	574
749	1715	571
750	1716	569
751	1718	566
752	1720	564
753	1722	561
754	1725	560
755	1728	557
756	1730	555
757	1732	552
758	1734	550
759	1735	548
760	1737	545
761	1738	543
762	1741	540
763	1743	538
764	1745	536
765	1747	533
766	1748	531
767	1749	528
768	1751	526
769	1752	523
770	1753	520
771	1757	518
772	1759	516
773	1760	514
774	1762	511
775	1763	509
776	1765	506
777	1767	504
778	1768	501
779	1772	499
780	1774	497
781	1775	495
782	1777	492
783	1779	490
784	1781	487
785	1782	485
786	1787	483
787	1788	481
788	1790	478
789	1792	476
790	1793	473
791	1795	471
792	1796	468
793	1798	466
794	1800	464
795	1802	461
796	1803	459
797	1805	457
798	1807	454
799	1808	452
800	1810	449
801	1813	447
802	1816	445
803	1818	443
804	1819	440
805	1821	438
806	1823	436
807	1824	433
808	1826	431
809	1827	428
810	1830	426
811	1832	424
812	1834	421
813	1835	419
814	1837	417
815	1839	414
816	1841	412
817	1843	410
818	1846	408
819	1848	405
820	1849	403
821	1851	400
822	1853	398
823	1854	396
824	1855	393
825	1857	391
826	1860	389
827	1862	386
828	1863	384
829	1864	381
830	1866	379
831	1868	377
832	1869	374
833	1870	372
834	1872	369
835	1874	367
836	1876	365
837	1878	363
838	1879	360
839	1881	358
840	1882	355
841	1883	353
842	1885	351
843	1888	349
844	1889	346
845	1891	344
846	1892	341
847	1894	339
848	1895	337
849	1896	334
850	1898	332
851	1899	330
852	1903	327
853	1904	325
854	1906	323
855	1907	320
856	1908	318
857	1910	316
858	1911	313
859	1913	311
860	1915	309
861	1918	307
862	1920	304
863	1922	302
864	1923	300
865	1925	297
866	1927	295
867	1928	293
868	1929	290
869	1932	288
870	1934	286
871	1935	284
872	1936	281
873	1938	279
874	1939	277
875	1941	274
876	1942	272
877	1943	270
878	1945	267
879	1948	265
880	1949	263
881	1951	261
882	1952	258
883	1954	256
884	1955	254
885	1957	251
886	1959	249
887	1960	247
888	1962	245
889	1964	242
890	1965	240
891	1967	238
892	1968	235
893	1970	233
894	1971	231
895	1972	228
896	1974	226
897	1976	224
898	1978	222
899	1979	219
900	1981	217
901	1982	215
902	1984	213
903	1985	210
904	1986	208
905	1988	206
906	1989	204
907	1992	201
908	1993	199
909	1996	197
910	1998	195
911	1999	192
912	2001	190
913	2002	188
914	2003	186
915	2006	183
916	2008	181
917	2009	179
918	2011	177
919	2014	175
920	2016	172
921	2017	170
922	2020	168
923	2022	166
924	2023	164
925	2025	161
926	2026	159
927	2028	157
928	2030	155
929	2032	152
930	2034	150
931	2037	148
932	2039	146
933	2041	144
934	2043	142
935	2045	139
936	2046	137
937	2048	135
938	2051	133
939	2053	131
940	2054	128
941	2056	126
942	2058	124
943	2059	122
944	2061	119
945	2062	117
946	2064	115
947	2067	113
948	2068	111
949	2070	108
950	2073	106
951	2074	104
952	2076	102
953	2078	100
954	2080	98
955	2082	95
956	2085	93
957	2087	91
958	2088	89
959	2090	87
960	2092	84
961	2093	82
962	2098	80
963	2100	78
964	2101	76
965	2104	74
966	2107	71
967	2109	69
968	2113	67
969	2115	65
970	2116	63
971	2118	61
972	2119	58
973	2121	56
974	2123	54
975	2124	52
976	2128	50
977	2129	47
978	2130	45
979	2132	43
980	2134	41
981	2135	39
982	2137	36
983	2138	34
984	2141	32
985	2144	30
986	2145	28
987	2147	26
988	2148	23
989	2150	21
990	2151	19
991	2153	17
992	2155	15
993	2157	13
994	2159	10
995	2161	8
996	2163	6
997	2165	4
998	2166	2
999	2168	0
